ApsimVersion = 7.9 r4044
Title = Corn_202_oat31
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        217.035        20606.4       1661.990        210.000        268.000          3.845          22.89       2008.051        341.300             202.0          144.3          132.1        121.524
     31/12/2001           2001        169.231        22578.9       1606.795        198.000        251.000          4.466          25.13       1760.190        403.098             202.0          134.6          125.1        141.536
     31/12/2002           2002        226.136        23551.6       1594.606        197.000        251.000          4.341          27.27       1851.307        452.882             202.0          149.8          139.0        124.293
     31/12/2003           2003        229.204        24929.0       1352.679        202.000        260.000          4.499          28.12       1625.464        466.217             202.0          145.2          134.4        127.654
     31/12/2004           2004        245.261        26059.2       1559.560        202.000        270.000          4.320          29.92       1746.205        462.784             202.0          165.7          155.3        134.625
     31/12/2005           2005        232.934        23539.7       1612.916        200.000        256.000          4.532          27.07       1903.732        571.857             202.0          171.0          158.0        123.666
     31/12/2006           2006        237.873        22164.3       1671.472        197.000        251.000          4.345          24.45       1992.458        323.088             202.0          143.2          133.1        133.113
     31/12/2007           2007        238.417        23235.0       1613.765        193.000        245.000          4.437          25.84       1775.016        437.286             202.0          153.1          143.5        137.160
     31/12/2008           2008        221.844        24252.4       1320.077        202.000        266.000          4.403          26.92       1299.217        719.582             202.0          163.8          152.0        109.528
     31/12/2009           2009        260.733        24162.7       1618.953        202.000        268.000          4.132          26.91       1799.187        407.757             202.0          161.2          149.0        125.910
     31/12/2010           2010        206.591        22851.1       1156.816        197.000        248.000          4.403          26.25       1126.493        849.884             202.0          163.4          153.8        141.685
     31/12/2011           2011        201.604        21640.7       1452.156        200.000        255.000          4.224          24.45       1576.504        326.898             202.0          160.3          145.5         88.005
     31/12/2012           2012        194.229        19719.8       1559.171        189.000        240.000          4.002          22.16       1895.599        236.970             202.0          106.7          103.2        171.990
     31/12/2013           2013        236.610        23648.1       1548.783        194.000        249.000          4.257          25.00       1658.147        276.352             202.0          108.3           93.5         99.467
     31/12/2014           2014        227.316        21513.4       1179.081        199.000        261.000          3.967          22.86       1253.383        699.262             202.0          161.0          149.4        107.701
     31/12/2015           2015        230.217        22773.5       1485.106        200.000        256.000          4.435          24.83       1469.036        735.326             202.0          168.2          156.5        138.727
     31/12/2016           2016        220.709        22974.3       1605.129        195.000        250.000          4.592          25.62       1867.611        535.960             202.0          167.9          158.7        141.671
