ApsimVersion = 7.9 r4044
Title = Corn_202_oat9
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        221.216        21997.8       1675.985        210.000        268.000          4.161          23.90       2019.774        341.300             202.0          140.1          127.9        121.524
     31/12/2001           2001        172.508        23902.4       1616.380        198.000        251.000          4.660          26.22       1773.377        403.098             202.0          129.8          120.3        141.532
     31/12/2002           2002        230.584        25009.4       1608.631        197.000        251.000          4.579          28.70       1879.259        452.882             202.0          146.6          135.8        124.286
     31/12/2003           2003        231.723        26309.9       1398.457        202.000        260.000          4.718          28.18       1659.147        466.217             202.0          144.0          133.2        127.648
     31/12/2004           2004        247.736        27420.4       1583.528        202.000        270.000          4.503          30.36       1784.296        462.784             202.0          165.1          154.7        134.619
     31/12/2005           2005        235.384        24973.5       1621.879        200.000        256.000          4.793          28.46       1930.088        571.857             202.0          169.0          156.0        123.662
     31/12/2006           2006        241.312        23324.7       1681.615        197.000        251.000          4.468          25.44       2001.251        323.088             202.0          138.4          128.2        133.108
     31/12/2007           2007        242.050        24634.4       1625.057        193.000        245.000          4.668          27.18       1788.330        437.286             202.0          149.1          139.5        137.154
     31/12/2008           2008        224.397        25684.6       1434.875        202.000        266.000          4.635          27.07       1345.471        719.582             202.0          164.6          152.8        109.521
     31/12/2009           2009        265.066        25516.5       1646.706        202.000        268.000          4.323          28.30       1832.015        407.757             202.0          160.3          148.1        125.905
     31/12/2010           2010        209.900        24133.6       1197.513        197.000        248.000          4.588          27.52       1157.089        849.884             202.0          164.4          154.8        141.682
     31/12/2011           2011        204.582        22897.3       1503.064        200.000        255.000          4.437          25.68       1604.021        326.898             202.0          160.2          145.4         88.002
     31/12/2012           2012        197.345        20966.6       1561.685        189.000        240.000          4.347          23.20       1908.162        236.970             202.0          103.2           99.7        171.985
     31/12/2013           2013        239.111        24640.6       1569.932        194.000        249.000          4.585          24.73       1673.310        276.352             202.0          104.4           89.7         99.457
     31/12/2014           2014        230.272        22807.8       1197.338        199.000        261.000          4.163          24.17       1285.202        699.262             202.0          161.4          149.8        107.692
     31/12/2015           2015        235.145        24232.3       1503.072        200.000        256.000          4.717          26.29       1531.921        735.326             202.0          168.8          157.1        138.721
     31/12/2016           2016        223.621        24378.9       1612.490        195.000        250.000          4.810          27.02       1895.150        535.960             202.0          165.9          156.7        141.667
