ApsimVersion = 7.9 r4044
Title = SC_270_oat1
           Date           year      CropYield      corn_buac       soy_buac          Bioma      RootDepth         sowDOY       emergDOY     FlowerDate   MaturityDate    Harvest_doy   FallFrostDOY    LAI_maximum       ETAnnual CropTranspiration      TotalNupt     GrainlNupt AvgDroughtStress AvgExcessiveWStress     AvgNStress  AvgWTInseason DaysWTbelow50cm       EOAnnual   RunoffAnnual       Drainage             NR     GrossMiner       NetMiner     NlossTotal         Denitr   NLeachAnnual          AvgWT  NO3_atHarvest   NO3_atSowing NO3_30cmHarvest NO3_30cmSowing   CropYield_kg        SOC_7cm       SOC_22cm       SOC_45cm       SOC_75cm      SOC_105cm        crop_hi Maize_GrainsNumber Maize_GrainSize ResidueWTatSowing ResidueNatSowing      SoyNfixed       StoverWT StoverNitrogen       StoverCN    FOM_january   BIOM_january  RootWt_atHarv       RS_ratio      NconcRoot       NHI_crop
   (dd/mm/yyyy)         (year)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()                ()             ()             ()               ()                  ()             ()           (mm)              ()           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()           (mm)        (kg/ha)        (kg/ha)              ()             ()             ()             ()             ()             ()             ()             ()             ()                 ()             (g)           (kg/ha)          (kg/ha)        (g/m^2)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()
     31/12/1991           1991         68.112          0.000         68.112       8822.883       1571.067              0              ?        169.000        237.000        135.000        263.000          6.182        842.804           329.682        303.594        246.574            0.964               1.000          1.000       1678.007           3.000        987.259         62.046        -34.470            0.5          139.6          123.7         40.445           27.6         12.961       1348.277           42.2           39.7           7.957          7.957       3976.994          2.406          2.086          1.457          0.730          0.490          0.505              0.000           0.000             224.1              2.0          23.10      -3976.994          0.000         40.275          634.7         4183.8          0.000          0.000          0.000          0.000
     31/12/1992           1992        232.504        232.504          0.000      23746.334       1526.500            122        128.000        198.000        269.000        294.000        290.000          4.652        685.180           261.941        234.097        152.897            1.993               1.000          1.821       1380.760           0.000        940.120         34.990        147.204          170.0           95.5           80.3         38.403           25.4         12.956       1141.667           10.3           48.2          13.488         13.488      12429.465          2.406          2.078          1.456          0.730          0.491          0.531           3721.459           0.334             230.0              2.6           0.00       9357.775         71.405         52.421         1023.0         3883.7       2313.275          0.097          1.070          0.653
     31/12/1993           1993         31.690          0.000         31.690       3743.936        903.740            122        128.000        187.000        262.000        285.000        281.000          2.132        661.758           176.111        135.863        114.720            1.000               0.909          1.000        625.883          54.000        881.841        244.085        465.543            0.8           35.4           15.3          7.349            5.2          2.137        802.520            6.9            5.1           0.222          0.222       1850.328          2.431          2.077          1.456          0.730          0.491          0.543              0.000           0.000            1141.2              8.2          13.56      -1850.328          0.000         40.934         3377.8         3706.0          0.000          0.000          0.000          0.000
     31/12/1994           1994        242.956        242.956          0.000      22143.637       1541.174            121        129.000        193.000        253.000        293.000        298.000          4.404        772.040           296.762        216.493        153.430            1.994               1.000          1.711       1695.327           0.000        976.581         37.300       -132.071          170.0          105.2           93.4         19.097           14.7          4.374       1437.152           24.2           38.0          32.072         32.072      12988.224          2.429          2.069          1.454          0.730          0.491          0.595           4213.720           0.308             103.4              1.1           0.00       8077.060         57.671         56.021         2688.5         4180.0       2097.880          0.095          1.070          0.709
     31/12/1995           1995         48.616          0.000         48.616       6334.444       1511.994            121        129.000        192.000        257.000        292.000        264.000          4.667        671.027           228.529        213.892        175.995            1.000               1.000          1.000       1321.809          15.000        908.156         15.038         74.502            0.3           71.1           54.7         13.650            9.3          4.355       1218.739           18.0           10.7           0.293          0.293       2838.635          2.448          2.066          1.453          0.731          0.492          0.508              0.000           0.000             839.5              5.8          20.61       2739.057         23.453         46.716         3011.3         3980.0       1132.402          0.203          1.503          0.882
     31/12/1996           1996        228.300        228.300          0.000      21393.605       1509.969            122        129.000        198.000        255.000        294.000        276.000          4.407        750.837           269.954        209.674        147.407            1.994               1.000          1.721       1433.673           0.000        932.727         49.010         73.482          170.0           98.9           88.9         45.463           32.6         12.865       1233.548           17.9           36.8          22.923         22.923      12204.742          2.448          2.060          1.452          0.731          0.492          0.580           3910.617           0.312             301.6              3.0           0.00       7749.408         55.070         56.288         2521.9         4253.4       2244.582          0.105          1.070          0.703
     31/12/1997           1997         54.174          0.000         54.174       6312.533       1540.136            122        129.000        186.000        258.000        292.000        293.000          3.740        664.797           228.881        234.046        196.118            1.000               1.000          1.000       1567.224           0.000        947.516         19.345         13.554            0.5           75.0           57.7         13.587            9.9          3.657       1298.094           23.7           10.1           0.508          0.508       3163.199          2.466          2.057          1.451          0.731          0.492          0.546              0.000           0.000             943.4              6.4          22.34      -3163.199          0.000         39.224         3391.9         4098.7          0.000          0.000          0.000          0.000
     31/12/1998           1998        213.976        213.976          0.000      20073.049       1195.057            121        126.000        192.000        244.000        293.000        307.000          4.125        722.651           269.883        213.249        148.980            1.994               1.000          1.696       1397.872           0.000        934.000         45.351         72.989          170.0          134.5          115.3         61.363           49.2         12.225       1221.178           41.0           49.1          28.058         28.058      11438.947          2.458          2.049          1.449          0.730          0.492          0.579           4340.878           0.264             171.3              2.0           0.00       7081.434         56.506         50.129         2130.7         4363.1       1912.931          0.095          1.071          0.699
     31/12/1999           1999         55.046          0.000         55.046       6420.027       1421.702            121        126.000        190.000        266.000        260.000        276.000          4.077        734.374           234.311        239.124        199.275            1.000               0.997          1.000       1094.086          13.000        972.405         85.345        152.469            0.6           80.1           62.4         23.953           16.8          7.133       1114.518           12.9           17.1           0.385          0.385       3214.113          2.474          2.046          1.449          0.730          0.492          0.536              0.000           0.000             431.3              3.2          21.49       2707.863         28.813         37.593         2791.0         4014.9       1128.427          0.188          1.504          0.868
     31/12/2000           2000        195.883        195.883          0.000      18841.957       1530.546            126        130.000        197.000        253.000        270.000        280.000          3.584        736.053           258.905        208.794        133.543            1.993               1.000          1.884       1783.015           0.000        960.621          1.363       -215.118          270.0          137.6          100.4         77.274           53.1         24.307       1539.747          150.6           58.9          31.712         31.712      10471.759          2.485          2.038          1.447          0.730          0.492          0.569           3572.514           0.293             208.1              2.6           0.00       7563.935         71.220         42.482         2127.6         4209.3       1904.388          0.101          1.067          0.640
