set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1008,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,reduced
1008,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1268.745,126.000,193,247,3.23,699.933,270.823,1.994,1.861,1.714,1631.323,412.2,5.9,0.297,0.295,reduced
1008,nash_CC_270.out,1999-12-31,1999,57.247,0,57.247,0,0,1338.995,126.000,185,266,4.593,724.448,254.349,1,1.76,1,1133.011,2152.4,17.7,0.283,0.308,reduced
1008,nash_CC_270.out,2000-12-31,2000,226.188,226.188,0,8,8,1513.862,126.000,196,254,3.904,739.172,309.709,1.99,1.936,1.761,2123.118,761.2,8.9,0.319,0.244,reduced
1008,nash_CC_270.out,2001-12-31,2001,51.31,0,51.31,0,0,1545.944,126.000,188,270,4.178,628.248,231.355,1,1.956,1,1670.01,2894.8,22.6,0.281,0.302,reduced
1008,nash_CC_270.out,2002-12-31,2002,250.23,250.23,0,8,8,1434.5,128.000,192,247,4.794,782.813,336.807,1.942,1.978,1.733,2212.517,418.3,5,0.291,0.285,reduced
1008,nash_CC_270.out,2003-12-31,2003,60.459,0,60.459,0,0,1406.934,128.000,190,0,5.46,655.544,299.077,0.949,1.932,1,1673.437,2842.8,21.8,0.267,0.306,reduced
1008,nash_CC_270.out,2004-12-31,2004,213.086,213.086,0,8,8,1226.359,129.000,200,263,3.311,695.935,256.515,1.994,1.858,1.795,1509.43,719.5,8.5,0.297,0.288,reduced
1008,nash_CC_270.out,2005-12-31,2005,154.35,154.35,0,8.7,3.603,1278.267,128.000,198,254,1.838,670.593,202.978,1.994,1.836,1.807,1311.332,2271.5,19.4,0.304,0.311,reduced
1008,nash_CC_270.out,2006-12-31,2006,192.39,192.39,0,8.7,8.7,1497.369,127.000,199,256,4.67,618.48,310.104,1.988,1.913,1.832,1824.847,3002.7,25.3,0.315,0.308,reduced
1008,nash_CS_270.out,1997-12-31,1997,230.331,230.331,0,8,7.798,1370.836,128,199,260,3.808,684.648,274.088,1.994,1.864,1.797,1559.435,1628.7,14.5,0.294,0.273,reduced
1008,nash_CS_270.out,1998-12-31,1998,59.891,0,59.891,0,0,1327.332,128,183,254,5.436,486.53,272.299,1,1.849,1,1283.639,8079.5,66.2,0.295,0.312,reduced
