ApsimVersion = 7.9 r4044
Title = CC_270_oat22
           Date           year      CropYield      corn_buac       soy_buac          Bioma      RootDepth         sowDOY       emergDOY     FlowerDate   MaturityDate    Harvest_doy   FallFrostDOY    LAI_maximum       ETAnnual CropTranspiration      TotalNupt     GrainlNupt AvgDroughtStress AvgExcessiveWStress     AvgNStress  AvgWTInseason DaysWTbelow50cm       EOAnnual   RunoffAnnual       Drainage             NR     GrossMiner       NetMiner     NlossTotal         Denitr   NLeachAnnual          AvgWT  NO3_atHarvest   NO3_atSowing NO3_30cmHarvest NO3_30cmSowing   CropYield_kg        SOC_7cm       SOC_22cm       SOC_45cm       SOC_75cm      SOC_105cm        crop_hi Maize_GrainsNumber Maize_GrainSize ResidueWTatSowing ResidueNatSowing      SoyNfixed       StoverWT StoverNitrogen       StoverCN    FOM_january   BIOM_january  RootWt_atHarv       RS_ratio      NconcRoot       NHI_crop
   (dd/mm/yyyy)         (year)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()                ()             ()             ()               ()                  ()             ()           (mm)              ()           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()           (mm)        (kg/ha)        (kg/ha)              ()             ()             ()             ()             ()             ()             ()             ()             ()                 ()             (g)           (kg/ha)          (kg/ha)        (g/m^2)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()
     31/12/1991           1991         68.123          0.000         68.123       8826.575       1567.940              0              ?        169.000        237.000        135.000        263.000          6.180        836.717           329.702        303.726        246.613            0.968               1.000          1.000       1665.366           4.000        985.767         61.415        -28.331            0.5          143.4          124.1         40.960           27.8         13.217       1341.138           42.8           38.7           7.101          7.101       3977.628          2.407          2.086          1.457          0.730          0.490          0.505              0.000           0.000             455.3              4.0          23.15      -3977.628          0.000         40.246          634.7         4183.8          0.000          0.000          0.000          0.000
     31/12/1992           1992        232.519        232.519          0.000      23737.170       1526.500            122        128.000        198.000        269.000        294.000        290.000          4.654        682.901           261.842        233.826        152.745            1.993               1.000          1.820       1375.904           0.000        937.865         34.286        150.077          170.0           97.2           79.9         39.016           25.7         13.211       1138.747           10.4           48.2          13.293         13.293      12430.254          2.409          2.075          1.456          0.730          0.491          0.531           3721.695           0.334             467.0              5.4           0.00       9346.959         71.282         52.451         1006.2         3882.4       2314.006          0.097          1.070          0.653
     31/12/1993           1993         24.414          0.000         24.414       2886.359        683.517            122        128.000        187.000        262.000        285.000        281.000          1.528        556.173           138.997        103.826         88.383            0.999               0.870          1.000        516.270          97.000        871.527        304.396        511.960            0.8           52.2           16.5          7.813            5.3          2.507        750.319            5.4            5.5           0.411          0.411       1425.534          2.434          2.070          1.456          0.730          0.491          0.541              0.000           0.000            2474.1             17.7           9.69      -1425.534          0.000         42.908         3364.9         3707.1          0.000          0.000          0.000          0.000
     31/12/1994           1994        237.271        237.271          0.000      21817.281       1541.129            121        129.000        193.000        253.000        293.000        298.000          4.402        768.809           292.165        208.354        147.000            1.994               1.000          1.704       1691.013           0.000        976.699         37.503       -130.580          170.0           97.7           85.2         18.176           14.1          4.115       1437.190           23.7           35.8          30.720         30.720      12684.289          2.439          2.058          1.454          0.730          0.491          0.589           4213.392           0.301             167.3              1.8           0.00       8055.688         55.967         57.574         2946.9         4094.2       2096.965          0.096          1.069          0.706
     31/12/1995           1995         49.420          0.000         49.420       6436.207       1501.160            121        129.000        192.000        257.000        292.000        264.000          4.783        603.730           232.177        217.325        178.907            1.000               1.000          1.000       1214.275          19.000        897.843         25.731        120.353            0.3           80.9           52.1         14.287            9.7          4.553       1161.941           17.3           10.7           0.391          0.391       2885.598          2.462          2.051          1.453          0.731          0.492          0.509              0.000           0.000            1775.5             11.9          21.33       2772.423         23.698         46.796         3036.8         3967.2       1156.703          0.204          1.503          0.882
     31/12/1996           1996        225.299        225.299          0.000      21216.957       1526.819            122        129.000        198.000        255.000        294.000        276.000          4.404        738.815           267.991        205.479        144.177            1.994               1.000          1.717       1404.868           0.000        930.857         47.670         87.496          170.0           99.2           85.9         46.093           32.9         13.215       1216.421           17.9           35.9          22.293         22.293      12044.307          2.466          2.043          1.452          0.731          0.492          0.576           3910.150           0.308             619.6              6.2           0.00       7734.922         54.113         57.176         2678.2         4240.9       2243.099          0.106          1.070          0.702
     31/12/1997           1997         55.643          0.000         55.643       6483.215       1519.617            122        129.000        186.000        258.000        291.000        293.000          3.894        598.073           235.555        240.651        201.435            1.000               0.999          1.000       1430.039           0.000        937.123         15.382         77.097            0.5           89.0           58.3         15.022           10.7          4.293       1228.535           23.6           10.6           0.590          0.590       3248.947          2.487          2.037          1.452          0.731          0.492          0.547              0.000           0.000            1906.9             12.7          23.16      -3248.947          0.000         39.062         3396.0         4126.5          0.000          0.000          0.000          0.000
     31/12/1998           1998        213.307        213.307          0.000      20028.314       1181.284            121        126.000        192.000        244.000        293.000        307.000          4.124        715.804           269.290        211.258        147.672            1.994               1.000          1.693       1382.891           0.000        932.655         44.424         84.023          170.0          136.3          115.2         62.635           50.0         12.612       1209.459           41.3           48.5          27.761         27.761      11403.209          2.481          2.028          1.450          0.731          0.492          0.579           4340.631           0.263             356.0              4.1           0.00       7073.143         55.826         50.680         2219.9         4373.6       1912.389          0.095          1.071          0.699
     31/12/1999           1999        216.629        216.629          0.000      21013.189        940.074            139        144.000        205.000        265.000        294.000        276.000          4.394        649.298           287.370        217.146        151.880            1.990               1.000          1.775       1147.245          15.000        959.189        121.590        186.254          270.0           81.2           48.0        104.117           87.3         16.819       1094.024           26.5          114.3          64.138         64.138      11580.784          2.500          2.024          1.450          0.730          0.492          0.557           3583.817           0.323             845.2              6.2           0.00       7857.993         57.394         54.766         2816.2         4035.1       2095.510          0.100          1.070          0.699
     31/12/2000           2000        168.733        168.733          0.000      19327.713       1509.862            126        130.000        196.000        250.000        270.000        280.000          3.891        553.186           263.328        215.013        123.445            1.993               1.000          1.852       1499.633           0.000        930.159          6.765        -24.135          270.0           96.7           33.4         70.636           57.5         13.180       1322.892           54.9           24.4           1.190          1.190       9020.306          2.545          2.019          1.450          0.730          0.492          0.479           3479.742           0.259            1673.0             11.6           0.00       9447.271         87.267         43.303         3350.2         4266.5       1958.461          0.101          1.067          0.574
